"Index","GDAXI.Adjusted"
"2015-01-08","2015-01-08",0.033009209896024
"2015-01-09","2015-01-09",-0.0194103682659765
"2015-01-12","2015-01-12",0.0137313162857744
"2015-01-13","2015-01-13",0.0161338400899602
"2015-01-14","2015-01-14",-0.0125438854656981
"2015-01-15","2015-01-15",0.0217170887423048
"2015-01-16","2015-01-16",0.0133820450388829
"2015-01-19","2015-01-19",0.00730817978583786
"2015-01-20","2015-01-20",0.0014420147598706
"2015-01-21","2015-01-21",0.00409611858147585
"2015-01-22","2015-01-22",0.013155784749868
"2015-01-23","2015-01-23",0.0202954966714906
"2015-01-26","2015-01-26",0.0138710376850248
"2015-01-27","2015-01-27",-0.0158448931935808
"2015-01-28","2015-01-28",0.00772181780542169
"2015-01-29","2015-01-29",0.00250833191213395
"2015-01-30","2015-01-30",-0.00406396768158679
"2015-02-02","2015-02-02",0.012423485016507
"2015-02-03","2015-02-03",0.00579591343186436
"2015-02-04","2015-02-04",0.0018686240139516
"2015-02-05","2015-02-05",-0.00054180037682805
"2015-02-06","2015-02-06",-0.00542673739055921
"2015-02-09","2015-02-09",-0.0170046624620763
"2015-02-10","2015-02-10",0.00843436660166219
"2015-02-11","2015-02-11",-0.000159930375682293
"2015-02-12","2015-02-12",0.0154619072134263
"2015-02-13","2015-02-13",0.0039985337262074
"2015-02-16","2015-02-16",-0.00367073098076176
"2015-02-17","2015-02-17",-0.00253087266824714
"2015-02-18","2015-02-18",0.00598263386266851
"2015-02-19","2015-02-19",0.00372814170652092
"2015-02-20","2015-02-20",0.00441665308470718
"2015-02-23","2015-02-23",0.00723850130668069
"2015-02-24","2015-02-24",0.00669935360190088
"2015-02-25","2015-02-25",0.000404112684103453
"2015-02-26","2015-02-26",0.0103757874741905
"2015-02-27","2015-02-27",0.00655290444729673
"2015-03-02","2015-03-02",0.000762772918896815
"2015-03-03","2015-03-03",-0.0114585538377305
"2015-03-04","2015-03-04",0.00970593759290139
"2015-03-05","2015-03-05",0.00992652065479227
"2015-03-06","2015-03-06",0.00407374258533544
"2015-03-09","2015-03-09",0.00269230415535482
"2015-03-10","2015-03-10",-0.0070816284968771
"2015-03-11","2015-03-11",0.0262269815317531
"2015-03-12","2015-03-12",-0.000559244218250043
"2015-03-13","2015-03-13",0.00862590919761352
"2015-03-16","2015-03-16",0.0221128064202265
"2015-03-17","2015-03-17",-0.0154770118907823
"2015-03-18","2015-03-18",-0.00485953127685335
"2015-03-19","2015-03-19",-0.00196196636980517
"2015-03-20","2015-03-20",0.011694111158377
"2015-03-23","2015-03-23",-0.0119933766305049
"2015-03-24","2015-03-24",0.00919199383006308
"2015-03-25","2015-03-25",-0.0117608539221319
"2015-03-26","2015-03-26",-0.00182552035174943
"2015-03-27","2015-03-27",0.0020791488995382
"2015-03-30","2015-03-30",0.0181750514612222
"2015-03-31","2015-03-31",-0.00996507069267061
"2015-04-01","2015-04-01",0.00293813815379984
"2015-04-02","2015-04-02",-0.00283621210640383
"2015-04-07","2015-04-07",0.0129619075481067
"2015-04-08","2015-04-08",-0.00725677271482539
"2015-04-09","2015-04-09",0.010790820788861
"2015-04-10","2015-04-10",0.0169751509872853
"2015-04-13","2015-04-13",-0.00291339408548552
"2015-04-14","2015-04-14",-0.00904747409063411
"2015-04-15","2015-04-15",0.000305837823535882
"2015-04-16","2015-04-16",-0.0191898229870731
"2015-04-17","2015-04-17",-0.026189094724355
"2015-04-20","2015-04-20",0.0172357702828627
"2015-04-21","2015-04-21",0.00400058787635516
"2015-04-22","2015-04-22",-0.00606631103855015
"2015-04-23","2015-04-23",-0.0121904220511819
"2015-04-24","2015-04-24",0.00741636253025746
"2015-04-27","2015-04-27",0.0191461155331734
"2015-04-28","2015-04-28",-0.0190774905747446
"2015-04-29","2015-04-29",-0.0326077965757818
"2015-04-30","2015-04-30",0.00189278354063127
"2015-05-04","2015-05-04",0.0143426295718942
"2015-05-05","2015-05-05",-0.0254655485679294
"2015-05-06","2015-05-06",0.00198173373745369
"2015-05-07","2015-05-07",0.00508121585101584
"2015-05-08","2015-05-08",0.0261079501925874
"2015-05-11","2015-05-11",-0.0031117276773891
"2015-05-12","2015-05-12",-0.0173633964518309
"2015-05-13","2015-05-13",-0.0105986694545734
"2015-05-14","2015-05-14",0.0181889526472716
"2015-05-15","2015-05-15",-0.00980498762793225
"2015-05-18","2015-05-18",0.0127815650382779
"2015-05-19","2015-05-19",0.0220969507212967
"2015-05-20","2015-05-20",-0.000410125110386517
"2015-05-21","2015-05-21",0.00135959846285338
"2015-05-22","2015-05-22",-0.0041875835229721
"2015-05-26","2015-05-26",-0.0162016130571168
"2015-05-27","2015-05-27",0.0124807893792092
"2015-05-28","2015-05-28",-0.00797997893466551
"2015-05-29","2015-05-29",-0.0228450053082323
"2015-06-01","2015-06-01",0.0019457002675658
"2015-06-02","2015-06-02",-0.00942249084357627
"2015-06-03","2015-06-03",0.00798480029360782
"2015-06-04","2015-06-04",-0.00694376647196648
"2015-06-05","2015-06-05",-0.0127298559880877
"2015-06-08","2015-06-08",-0.0118795801081593
"2015-06-09","2015-06-09",-0.00576719421130001
"2015-06-10","2015-06-10",0.0237226203831611
"2015-06-11","2015-06-11",0.00596427277113243
"2015-06-12","2015-06-12",-0.012099078095746
"2015-06-15","2015-06-15",-0.0190724073149386
"2015-06-16","2015-06-16",0.00536022837055583
"2015-06-17","2015-06-17",-0.00599401862410076
"2015-06-18","2015-06-18",0.0110779576943276
"2015-06-19","2015-06-19",-0.00543805398828567
"2015-06-22","2015-06-22",0.0373722769557236
"2015-06-23","2015-06-23",0.00713300387869609
"2015-06-24","2015-06-24",-0.00619458776719206
"2015-06-25","2015-06-25",0.000163013025868963
"2015-06-26","2015-06-26",0.00168076106935899
"2015-06-29","2015-06-29",-0.0362580646504203
"2015-06-30","2015-06-30",-0.0125505008980795
"2015-07-01","2015-07-01",0.0212912244355472
"2015-07-02","2015-07-02",-0.00728467659445542
"2015-07-03","2015-07-03",-0.00369712876543105
"2015-07-06","2015-07-06",-0.0152866083353533
"2015-07-07","2015-07-07",-0.0198314601953307
"2015-07-08","2015-07-08",0.00658322650765619
"2015-07-09","2015-07-09",0.0229143280398389
"2015-07-10","2015-07-10",0.0286160753794196
"2015-07-13","2015-07-13",0.0148028955407344
"2015-07-14","2015-07-14",0.00282771472677368
"2015-07-15","2015-07-15",0.00197425569796117
"2015-07-16","2015-07-16",0.0152304639661605
"2015-07-17","2015-07-17",-0.00370581961560212
"2015-07-20","2015-07-20",0.00532270324399775
"2015-07-21","2015-07-21",-0.0112183702457429
"2015-07-22","2015-07-22",-0.00727598227922321
"2015-07-23","2015-07-23",-0.000743251192858452
"2015-07-24","2015-07-24",-0.0144064890307014
"2015-07-27","2015-07-27",-0.0259835851427663
"2015-07-28","2015-07-28",0.0105721294248173
"2015-07-29","2015-07-29",0.00338960927370913
"2015-07-30","2015-07-30",0.00403229717658604
"2015-07-31","2015-07-31",0.00459448833572651
"2015-08-03","2015-08-03",0.0118430786628618
"2015-08-04","2015-08-04",0.00107866378809085
"2015-08-05","2015-08-05",0.0156097577586003
"2015-08-06","2015-08-06",-0.00440974959079554
"2015-08-07","2015-08-07",-0.00817042320253059
"2015-08-10","2015-08-10",0.00986777298501806
"2015-08-11","2015-08-11",-0.0271764503109022
"2015-08-12","2015-08-12",-0.0332225808675766
"2015-08-13","2015-08-13",0.0082063039077962
"2015-08-14","2015-08-14",-0.00268096008884555
"2015-08-17","2015-08-17",-0.00408745018997081
"2015-08-18","2015-08-18",-0.00223370124329492
"2015-08-19","2015-08-19",-0.0216481062692591
"2015-08-20","2015-08-20",-0.0236779013039303
"2015-08-21","2015-08-21",-0.0299361012343056
"2015-08-24","2015-08-24",-0.0481649827374024
"2015-08-25","2015-08-25",0.0485205498178374
"2015-08-26","2015-08-26",-0.0129876965375182
"2015-08-27","2015-08-27",0.0313312340120451
"2015-08-28","2015-08-28",-0.00165806956303705
"2015-08-31","2015-08-31",-0.00380099018373592
"2015-09-01","2015-09-01",-0.0240592896434428
"2015-09-02","2015-09-02",0.00323765306257862
"2015-09-03","2015-09-03",0.0264958542871128
"2015-09-04","2015-09-04",-0.027492540703582
"2015-09-07","2015-09-07",0.0070056907488123
"2015-09-08","2015-09-08",0.0159719032154495
"2015-09-09","2015-09-09",0.0030872994241129
"2015-09-10","2015-09-10",-0.0090360050261058
"2015-09-11","2015-09-11",-0.0085454301245278
"2015-09-14","2015-09-14",0.000807755460169091
"2015-09-15","2015-09-15",0.00555021197167704
"2015-09-16","2015-09-16",0.00382850603111606
"2015-09-17","2015-09-17",0.000231719364922611
"2015-09-18","2015-09-18",-0.0311177657010191
"2015-09-21","2015-09-21",0.0032570023161167
"2015-09-22","2015-09-22",-0.0387205827244852
"2015-09-23","2015-09-23",0.00437464575994007
"2015-09-24","2015-09-24",-0.0194310677681049
"2015-09-25","2015-09-25",0.0272969769092057
"2015-09-28","2015-09-28",-0.0213840416825288
"2015-09-29","2015-09-29",-0.00350158816213941
"2015-09-30","2015-09-30",0.02198213033404
"2015-10-01","2015-10-01",-0.0157742312264126
"2015-10-02","2015-10-02",0.00459759242007785
"2015-10-05","2015-10-05",0.0270278341426664
"2015-10-06","2015-10-06",0.00893014710900708
"2015-10-07","2015-10-07",0.00680015994271699
"2015-10-08","2015-10-08",0.00227114132172268
"2015-10-09","2015-10-09",0.0103068107910289
"2015-10-12","2015-10-12",0.00229817819799472
"2015-10-13","2015-10-13",-0.0086351228843089
"2015-10-14","2015-10-14",-0.0117273025377731
"2015-10-15","2015-10-15",0.0149097210521187
"2015-10-16","2015-10-16",0.00392974196934759
"2015-10-19","2015-10-19",0.00590861190326208
"2015-10-20","2015-10-20",-0.0016374453843131
"2015-10-21","2015-10-21",0.0088709402287801
"2015-10-22","2015-10-22",0.024494159251196
"2015-10-23","2015-10-23",0.0284302777394956
"2015-10-26","2015-10-26",0.000629731684849588
"2015-10-27","2015-10-27",-0.0101565774405259
"2015-10-28","2015-10-28",0.0129874111933148
"2015-10-29","2015-10-29",-0.00287712537773821
"2015-10-30","2015-10-30",0.0045540563104236
"2015-11-02","2015-11-02",0.00922268374362112
"2015-11-03","2015-11-03",4.38747778233051e-05
"2015-11-04","2015-11-04",-0.00971821359015124
"2015-11-05","2015-11-05",0.0039111114315169
"2015-11-06","2015-11-06",0.00916911627533423
"2015-11-09","2015-11-09",-0.0158308378909044
"2015-11-10","2015-11-10",0.00157699217899854
"2015-11-11","2015-11-11",0.0069318801436502
"2015-11-12","2015-11-12",-0.0115480626251045
"2015-11-13","2015-11-13",-0.00690797848495706
"2015-11-16","2015-11-16",0.000450953360045858
"2015-11-17","2015-11-17",0.0237796073177261
"2015-11-18","2015-11-18",-0.00101134007874037
"2015-11-19","2015-11-19",0.011384837034921
"2015-11-20","2015-11-20",0.00309743364037729
"2015-11-23","2015-11-23",-0.00247797126528049
"2015-11-24","2015-11-24",-0.0143757293667903
"2015-11-25","2015-11-25",0.0213141266640982
"2015-11-26","2015-11-26",0.0134486162633607
"2015-11-27","2015-11-27",-0.00238871020602893
"2015-11-30","2015-11-30",0.0078030684534216
"2015-12-01","2015-12-01",-0.0106866467095408
"2015-12-02","2015-12-02",-0.00634449405244197
"2015-12-03","2015-12-03",-0.0364729048184635
"2015-12-04","2015-12-04",-0.00344831492119546
"2015-12-07","2015-12-07",0.0123847651215243
"2015-12-08","2015-12-08",-0.019712446748386
"2015-12-09","2015-12-09",-0.00762808479534627
"2015-12-10","2015-12-10",0.00060774156209753
"2015-12-11","2015-12-11",-0.0247273929267919
"2015-12-14","2015-12-14",-0.0196027383387651
"2015-12-15","2015-12-15",0.0302154382953344
"2015-12-16","2015-12-16",0.00180499169733928
"2015-12-17","2015-12-17",0.0253567162468951
"2015-12-18","2015-12-18",-0.012173653317646
"2015-12-21","2015-12-21",-0.0104635757961979
"2015-12-22","2015-12-22",-0.000859554800584306
"2015-12-23","2015-12-23",0.0225203013955504
"2015-12-25","2015-12-25",NA
"2015-12-28","2015-12-28",NA
"2015-12-29","2015-12-29",0.0191721978015984
"2015-12-30","2015-12-30",-0.0108438846891126
